Vertical,Subvertical,Company Name,Website,Description,Location,Monthly Visits,US %
Sports,Tools,Fotmob,Fotmob.com,online website/app that provides football live scores,Netherlands,"7,000,000",17.00%
Screen,Image Licensing,Cover Media,https://covermg.com/,Image Licensing,UK,"3,800",18%
Marketplace,Database,Hitta,https://www.hitta.se/,Swedish Online Directory,Sweden,"14,000,000",1%
Tools,Tools,eSIM Plus,https://esimplus.me/,eSIM Provider,Lithuania,"68,000",
Marketplace,P2P Rental,Vanly,https://vanly.app/,P2P Rental (Focus on RV/Overnight parking),USA,"24,000",60%
Marketplace,Classifieds,Wannonce,https://www.wannonce.com/,Classified Ads,France,"12,700,000",0%
Marketplace,Classifieds,Kupujemprodajem,https://www.kupujemprodajem.com/,Classified Ads,Serbia,"12,100,000",
Marketplace,Classifieds,Lento,https://www.lento.pl/,Classified Ads,Poland,"9,300,000",
Marketplace,Classifieds,Gratka,https://gratka.pl/,Classified Ads,Poland,"3,800,000",0%
Marketplace,Marketplace,BezRealitky,https://www.bezrealitky.cz/,Real estate buy/sell marketplace,Czech Republic,"1,800,000",1%
Marketplace,Ferry Ticket Aggregator,Easybook,https://www.easybook.com/,Ferry Ticket Aggregator,Singapore,"1,400,000",2%
Marketplace,Ferry Ticket Aggregator,Greeka,https://www.greeka.com/,Ferry Ticket Aggregator,Greece,"1,200,000",26%
Marketplace,Ferry Ticket Aggregator,Aferry,https://www.aferry.com/en-ca/,Ferry Ticket Aggregator,UK,"706,000",2%
Marketplace,Ferry Ticket Aggregator,NetFerry,https://www.netferry.com/,Ferry Ticket Aggregator,Italy,"346,000",2%
Marketplace,P2P Rental,MobyPark,https://www.mobypark.com/,P2P & B2C Parking rental,Netherlands,"73,000",0%
Marketplace,Ferry Ticket Aggregator,Moby,https://www.mobylines.com/,Ferry Operator,Italy,"56,000",8%
Tools,Database,eSIMRadar,eSIMradar.com,eSIM Databaseaggregator,USA,"50,000",5%
Marketplace,P2P Rental,ClicknPark,https://clicknpark.com/,P2P Rental,Canada,"39,000",6%
Marketplace,Marketplace,Gumtree,https://www.gumtree.com/,Classified Marketplace,UK,"1,900,000",1%
Marketplace,Marketplace,EntreParticuliers,https://www.entreparticuliers.com/,Real estate buy/sell search engine,France,"1,900,000",5%
Tools,Database,eSIMDB,eSIMDB.com,eSIM Databaseaggregator,USA,"1,000,000",10%
Marketplace,Floral,Fromyouflowers,https://www.fromyouflowers.com/,Online flower marketplace,USA,"3,700,000",94%
Marketplace,Floral,Teleflora,https://www.teleflora.com/,Online flower marketplace,USA,"1,400,000",91%
Marketplace,Floral,Bloomnation,https://www.bloomnation.com/,Online flower marketplace,USA,"576,000",98%
Marketplace,Floral,Bloomex,https://bloomex.ca/,Online flower marketplace,Canada,"488,000",11%
Marketplace,Floral,FlowerShopping,https://www.flowershopping.com/,Online flower marketplace,USA,"293,000",94%
Sports,Sports Database,PuckPedia,https://puckpedia.com/,NHL Salary Data,USA,"242,000",27%
Marketplace,Estate Auctions,EstateSales.org,https://estatesales.org/,Estate Auction Listings,USA,"1,100,000",97%
Marketplace,Storage Aggregator,FindStorageFast,https://www.findstoragefast.com,Storage Aggregator,Canada,"33,000",98%
Marketplace,Classifieds,Geebo,https://geebo.com/,Classified Ads,USA,"2,800,000",98%
Marketplace,Estate Auctions,AuctionNinja,https://www.auctionninja.com/,Estate Auction Listings,USA,"2,600,000",99%
Marketplace,Estate Auctions,EstateSale.com,https://www.estatesale.com/,Estate Auction Listings,USA,"207,000",99%
Marketplace,Storage Aggregator,Comparethestorage,https://www.comparethestorage.com/,Storage Aggregator,UK,"26,000",0%
Marketplace,Industrial Machinery,EquipNet,https://www.equipnet.com/,Classified Ads / B2B,USA,"74,000",47%
Sports,Publishing,FanGraphs,https://www.fangraphs.com/,MLB News and roster/salary information,USA,"8,200,000",87%
Marketplace,Industrial Machinery,Machine Seeker,https://www.machineseeker.com/,Classified Ads / B2B,Germany,"861,000",6%
Sports,Sports Database,OverTheCap.com,https://overthecap.com/,NFL Salary Cap Data,USA,"576,800",82%
Sports,Sports Database,Salary Sport,https://salarysport.com/,Salary Cap Data,EU,"527,500",8%
Marketplace,Industrial Machinery,Surplus Record,https://surplus.com/,Classified Ads / B2B,USA,"95,000",81%
Marketplace,Industrial Machinery,Aaron Equipment Company,https://www.aaronequipment.com/,Classified Ads / B2B,USA,"55,000",38%
Marketplace,Industrial Machinery,Aucto,https://www.aucto.com/,Classified Ads / B2B,USA,"33,000",12%
Marketplace,Industrial Machinery,Machinery Marketplace,https://machinerymarketplace.net/,Classified Ads / B2B,USA,"8,800",13%
Tools,Tools,calculator.net,https://www.calculator.net/,Online Calculators,USA,"50,400,000",50%
Tools,Tools,timeanddate,https://www.timeanddate.com/,"Clocks, Timers and astronomy tools",Norway,"45,500,000",41%
Sports,Sports Database,Capology,https://www.capology.com/,Soccer roster/salary information,USA,"1,400,000",14%
Marketplace,Classifieds,ClassifiedAds.com,https://www.classifiedads.com/,Classified Ads,USA,"330,600",34%
Screen,Online Retailer,MyComicShop,https://www.mycomicshop.com/,Comic book retailer,USA,"1,100,000",79%
Travel,Tools,Flightradar24,https://www.flightradar24.com/,Live Flight Positioning,Sweden,"52,700,000",50%
Marketplace,Classifieds,Good Dog,https://www.gooddog.com/,Online pet marketplace,USA,"1,700,000",99%
Marketplace,Floral,The Bouqs,https://bouqs.com/,Online flower marketplace,USA,"1,600,000",93%
Travel,Tools,LiveAtc,https://www.liveatc.net/,Live ATC audio,USA,"1,200,000",50%
Marketplace,Classifieds,PetClassifieds,https://petclassifieds.com/,Online pet marketplace,USA,"315,000",98%
Gaming,Gaming Database,Mobalytics,https://mobalytics.gg/,Gaming Database,USA,"17,800,000",23%
Marketplace,Art,Artsy,https://www.artsy.net/,Art Auctions,USA,"2,800,000",39%
Marketplace,Art,Artnet,https://www.artnet.com/,Art Auctions,France,"4,900,000",44%
Screen,Database / Tool,PriceCharting,https://www.pricecharting.com/,"Pricing for games, coins, cards, etc.",USA,"5,700,000",54%
Marketplace,Art,Invaluable,https://www.invaluable.com/,Art Auctions,USA,"4,800,000",52%
Gaming,Database,Steamchart,https://steamcharts.com,Gaming Analytics and player Statistics,USA,"4,600,000",21%
Gaming,eSports,SiegeGG,https://siege.gg/,"Gaming, information",USA,"1,100,000",28%
Technology,Marketplace,Swappa,https://swappa.com/,Buy and sell electronics,USA,"2,400,000",79%
Finance,Platform,Finviz,https://finviz.com/,Financial Visualization,Slovakia,"27,400,000",54%
Finance,Platform,Stockcharts,https://stockcharts.com/,Financial Visualization,USA,"5,400,000",72%
Gaming,Publishing,Try Hard Guides,https://tryhardguides.com/,Gaming Guides and Walktrhoughs,USA,"4,600,000",42%
Tools,Tools,ILovePDF,https://www.ilovepdf.com/,PDF editing and convertion Tool,Spain,"170,500,000",2%
Tools,Tools,Convertio,https://convertio.co/,Online File Convertion Tool,France,"26,200,000",4%
Tools,Tools,CloudConvert,https://cloudconvert.com/,Online File Convertion Tool,Germany,"18,800,000",26%
Tools,Tools,Watchcharts,https://watchcharts.com/,Watch Analytics/marketplace,USA,"1,200,000",35%
Marketplace,Estate Sales,Caring Transitions,https://www.caringtransitions.com/,Downsizing company and marketplace,USA,"1,300,000",100%
Sports,Publishing,EssentiallySports,https://www.essentiallysports.com/,Sports website news page,India,"69,500,000",35%
Sports,Publishing,SportsKeeda,https://www.sportskeeda.com/,Sports website news page,India,"21,900,000",59%
Gaming,Wiki,wiki.gg,www.wiki.gg,Gaming wiki sites,USA,"25,400,000",15%
Gaming,Wiki,Fextralife,https://fextralife.com/,Wiki/Database,Hong-Kong,"75,800,000",21%
Gaming,Publishing,Maxroll.gg,maxroll.gg,Wiki/Database,Netherlands,"29,000,000",17%
Screen,Online Retailer,Creation Entertainment,https://www.creationent.com/,producing the world's leading fan conventions for followers of genre television and film.,USA,"345,000",61%
Gaming,Online Games,Cardgames.io,Cardgames.io,Classic online card and board games,USA,"25,300,000",73%
Gaming,Gaming Database,Pokemon Database,Pokemondb.net,Pokemon Database,USA,"15,500,000",41%
Gaming,Gaming Database,Zelda Dungeon,https://www.zeldadungeon.net/,"Zelda game franchise Database, wiki and guides",USA,"3,400,000",44%
Gaming,Gaming Database,TwitchTracker,https://twitchtracker.com/,Twitch stats tracking and clips,USA,"2,600,000",19%
Gaming,Online Retailer,Limited Run Games,https://limitedrungames.com/,Publisher and distributor of games,USA,"1,200,000",32%
Gaming,Marketplace,Fangamer,fangamer.com,Gaming merch,USA,"1,100,000",43%
Gaming,Publishing,Gameranx,https://gameranx.com/,Media publishing and Youtube Channel,USA,"678,800",20%
Art,Marketplace,Creative Fabrica,https://www.creativefabrica.com/,"change the way people consume digital assets. We believe that the way current marketplaces sell designs is ok, but not great. We will change that.Creative Fabrica is a combination of love for art and a passion for handmade crafts and fonts. We believe that each font and craft is a little piece of art. Likewise, we believe that art should be made available to everyone.",Netherlands,"9,000,000",41%%
Screen,Publishing,BookBolt.io,https://bookbolt.io/media-contact/,digital book plublishing,USA,"800,000",77%
Gaming,Forums,NeoGAF,https://www.neogaf.com/,Gaming and community forums,USA,"2,300,000",35%
Art,Marketplace,iCanvas,https://www.icanvas.com/,Art online marketplace,USA,"800,000",77%
Screen,Audiobooks,Everand,https://www.everand.com/,"Ebooks, audiobooks, and more",USA,"6,800,000",30%
Screen,Image Licensing,Dreamstime,https://www.dreamstime.com/,Image Licensing,USA,,
Tools,Tools,Keyword Tool,https://keywordtool.io/,Keyword finder,USA,"1,100,000",11%
Publishing,Tools,FontSpace,https://www.fontspace.com/,Font Website,N/A,"4,300,000",32%
Publishing,Tools,DaFont,https://www.dafont.com/,Font Website,Canada,"16,800,000",16%
Publishing,Tools,1001 Fonts,https://www.1001fonts.com/,Font Website,Germany,"4,100,000",24%
Screen,Audiobooks,Hoopla,https://www.hoopladigital.com/,"Ebooks, audiobooks, and more",USA,"4,000,000",83%
Screen,Audiobooks,Storytel,https://www.storytel.com/en,AudioBook Website,Sweden,"2,300,000",
Publishing,Publishing,Lulu Press,https://www.lulu.com/,provides book publishing resources,USA,"1,200,000",49%
Publishing,Publishing,Draft2Digital,https://www.draft2digital.com/,Publishing Tool,USA,"760,000",50%
Screen,Online Retailer,HobbyLink Japan,https://www.hlj.com/,Anime figurine retailer,Japan,"1,900,000",24%
Screen,Collectibles,Collectorz,https://collectorz.com/,Comic catalogue platform,Amsterdam,"250,000",73%
Screen,Online Reader,Royal Road,https://www.royalroad.com/home,Online Web Novels,Israel,,
Screen,Forums,Bored Panda,www.boredpanda.com,News/forum,Lithuania,"35,000,000",
Screen,Online Retailer,AmiAmi,https://www.amiami.com/eng/,Anime figurine retailer,Japan,"4,500,000",32%
Screen,Online Retailer,Entertainment Earth,https://www.entertainmentearth.com/,Figurine retailer,USA,"2,000,000",77%
Screen,Collectibles,League of Comic Geeks,https://leagueofcomicgeeks.com/,Comic catalogue platform,USA,"1,600,000",51%
Screen,Collectibles,CovrPrice,https://covrprice.com/,Comic catalogue platform,USA,"227,000",95%
Screen,Collectibles,ComicConnect,https://www.comicconnect.com/?tzf=1,Comic Marketplace,USA,"48,000",
Screen,Collectibles,ComicLink,https://www.comiclink.com/,Comic Marketplace,USA,,
Screen,Online Reader,Anilist/anichart,https://anilist.co/,Anime platform,USA,,
Screen,Audiobooks,"Bookbub, Chirp","https://www.chirpbooks.com/, https://www.bookbub.com/",online ebooks/audiobook,USA,,
Screen,Publishing,Inkitt,www.inkitt.com,Online publications,USA/eur (not clear),,
Screen,Online Reader,GlobalComix,https://globalcomix.com/,Comic reading platform,USA,,
Screen,Online Reader,Azuki,https://www.azuki.co/,manga publisher,USA,"311,400",
Music,Audio Streaming,Songtradr,https://www.songtradr.com/,Music Licensing,USA,"137,000",34%
Gaming,Mods,Nexus Mods,https://www.nexusmods.com/,gaming platform/Database,UK,"61,100,000",28%
Screen,Forums,gaiaonline.com,gaiaonline.com,online comic/anime forum for nerds,USA,"2,000,000",72%
Gaming,Online Games,GameMine,https://gamemine.com/,gaming platform/Database,USA,"2,800",100%
Music,Audio Streaming,Discogs,https://www.discogs.com/,Music Database& Marketplace,USA,"37,000,000",27%
Screen,Publishing,MyAnimeList,https://myanimelist.net/,Anime Database,Japan,"34,900,000",32%
Gaming,Database,BoardGameGeek,https://boardgamegeek.com/,Board Game Database,USA,"20,000,000",43%
Screen,Publishing,Anime-Planet,https://www.anime-planet.com/,Anime Database,USA,"7,900,000",35%
Gaming,Gaming Database,Scryfall,https://scryfall.com/,Magic the Gathering Database,USA,"7,200,000",49%
Gaming,Database,Moxfield,https://www.moxfield.com/,Magic the Gathering Database,USA,"6,900,000",49%
Gaming,Gaming Database,Gameeye,https://www.gameye.app/,gaming Database,USA,"34,200",42.60%
E&L,Online Retailer,Fragrantica,https://www.fragrantica.com/,Fragrance DB,USA,"33,000,000",37%
Music,Audio Streaming,Online Radio Box,https://onlineradiobox.com/,Online Radio Channels,USA,"15,700,000",17%
Gaming,Online Games,Chess.com,Chess.com,Mods,USA,"175,300,000",26%
Travel,Marketplace,Luxury Escapes,Luxuryescapes.com,website to plan vacations at luxury destinations,Australia,,
Gaming,Mods,GameBanana,https://gamebanana.com/,Mods,USA,"12,000,000",25%
Auto,Publishing,Crash Media Group,https://www.crashmediagroup.com/,"Owns several publishing websites which includes F1, Golf, and motorcycles",UK,"8,400,000",30%- 78%%
Gaming,Gaming Database,PSNProfiles,https://psnprofiles.com/,PSN Profile Trophy trackers and guides,USA,"7,600,000",26%
Gaming,Deals,GG.deals,gg.deals,Aggregator of electronic gaming deals,Poland,"5,500,000",26.50%
Gaming,Database,deckbox,https://deckbox.org/,MoG collection manageement/trading cite,USA,"339,000",45.00%
Screen,Database,JustWatch,https://www.justwatch.com/ca,"Online movide Database, movie streaming",USA,"54,600,000",18%
Gaming,Digital Commerce,Gamesplanet,https://us.gamesplanet.com/,games download website,France,"171,400",39%
Screen,Database,Rotten Tomatoes,https://www.rottentomatoes.com/,Online Movie recommendation resource,USA,"75,600,000",51%
Publishing,Weather,Windy.com,windy.com,online weather applicaton,Czechia,"57,400,000",12%
Screen,Database,Mangaclash (toonclash),https://toonclash.com/,,USA,"38,700,000",39%
Gaming,Marketplace,Itch.io,ithc.io,Independent video game creators,USA,"34,400,000",32.00%
Gaming,Marketplace,Codashop,https://www.codashop.com/,global marketplace for in-game currencies and content,Singapore,"17,700,000",0.47%
Tools,Publishing,Bookdepot/bookoutlet,https://bookdepot.ca/,Online book wholesaler,Canada,"11,000,000",1%
Gaming,Gaming Database,TrueGaming Network,https://truegamingnetwork.com/ ; https://www.trueachievements.com/,"XBOX, PSN, Steam throphy Database",UK,"10,200,000",35%
Gaming,Database,MTGGoldfish,https://www.mtggoldfish.com/,Card Database,USA,"5,800,000",37.00%
Gaming,Gaming Database,Speedrun,https://www.elo.io/ ; https://www.speedrun.com/,Speed run community,USA,"4,500,000",30%
Screen,Database,Pokebeach,https://www.pokebeach.com/,online pokemon Database,USA,"2,100,000",39%
Gaming,Gaming Database,MobyGames,https://www.mobygames.com/,Database,USA,"1,700,000",23.00%
Screen,Database,LimitlessTCG,https://limitlesstcg.com/contact,Online Org. for tournament/card Database,USA,"1,600,000",25%
Sports,Gaming Database,Trading Card Database,https://www.tcdb.com/,Sports trading card,USA,"1,200,000",82.00%
Gaming,Marketplace,Badlion,badlion.net,Minecraft platform,USA,"1,000,000",17.00%
Gaming,Livestreaming Tools,Own3d,Own3d.tv,a website used for live streaming of videogames,Austria,"364,200",15.00%
Gaming,Gaming Database,GameMaps,gamemaps.co.uk,Interactive video game maps,UK,"176,700",30.00%
Gaming,Mods,Plitch,https://www.plitch.com/,Mods,Germany,"734,000",8%
Gaming,Wiki,Liquipedia,https://liquipedia.net/,Wikis,the Netherlands,"35,500,000",12%
Screen,Collectibles,Ludex,Ludex.com,Card Scanning Application,USA,"44,000",67.94%
Gaming,Gaming Database,Top.gg,top.gg,Discord Bots,USA,"8,900,000",33%
Gaming,Mods,ModDB,https://www.moddb.com/,Mods,Australia,"6,700,000",16%
Gaming,Mods,WeMod,https://www.wemod.com/,Mods,USA,"2,700,000",17%
Travel,Database,RadarBox,https://www.radarbox.com/,Flight tracker,USA,"2,400,000",20%
Screen,Creation Tools,ShotDeck,Shotdeck.com,Movie/Video library,USA,"776,000",35%
Screen,Creation Tools,Film-Grab,Film-Grab.com,Movie/Video library,USA/France,"497,000",22%
Screen,Creation Tools,frameset.app,frameset.app,"Our mission is to help filmmakers find inspiration unique to themselves and, ultimately, the work they create.",USA,"272,000",29%
Screen,Creation Tools,Moviestillsdb,moviestillsdb.com,Movie/Video library,USA,"269,000",50%
Gaming,Gaming Database,Stormstrike Inc.,"Stormstrike Inc (Mut.gg, Fut.gg, Fifa Index)","Databasefor Ultimate Teams (FIFA, Madden)",EU,"10,000,000",70%
Gaming,Gaming Database,Wowhead,https://www.wowhead.com,Gaming Guides and Database,USA,"58,700,000",22%
Gaming,Forums,Magic Find,https://www.magicfind.us/,"Network of Forums, Databases, news etc",USA,"10,000,000",38%
Gaming,Gaming Database,Resero Network,https://www.xboxachievements.com/ | https://www.playstationtrophies.org/,Trophy Database,UK,"3,600,000",26%
Gaming,Publishing,Miniclip,https://www.miniclip.com/,Game developper and publisher,EU,"25,000,000",25%
Technology,Marketplace,PCPartPicker,https://pcpartpicker.com/,comparison shopping website that allows users to compare prices and compatibility of computer components on different retailers online,USA,"8,000,000",53%
Gaming,Deals,IsThereAnyDeal,https://isthereanydeal.com/,Aggregator of electronic gaming deals,Czech Republic,"2,000,000",34.00%
Sports,Database,Sports Reference,https://www.sports-reference.com/,Sports Database,USA,"4,700,000",88.06%
Gaming,Gaming Database,Cheat Happens,https://www.cheathappens.com/,Cheats/trainer,USA,"1,400,000",22.00%
Gaming,eSports,Battlefy,https://battlefy.com/,eSports Tournaments,Canada,"1,200,000",24%
Sports,Collectibles,GoCollect,https://gocollect.com/,Cataloguing Collections,USA,"460,000",65.00%
Gaming,Livestreaming Tools,Nerd or Die,https://nerdordie.com/,Streaming tools,USA,"163,600",23%
Gaming,eSports,Challengermode,https://www.challengermode.com/,eSports platform,Sweden,"869,300",8.75%
Gaming,Online Games,Newgrounds,https://www.newgrounds.com/,"UGC site for Flash games, movies, art, etc.",USA,"15,000,000",47.00%
Gaming,Digital Commerce,Eneba,https://www.eneba.com/,"Marketplace for digital key products, games, and such",Lithuania,"12,000,000",9.00%
Gaming,Livestreaming Tools,Restream,restream.io,Platform for restreaming in gaming,USA,"4,000,000",31.00%
Gaming,Publishing,Esports.net,esports.net,News and guides,Malta,"2,400,000",47.00%
Gaming,Marketplace,Gameflip,https://gameflip.com/,In-game Item Marketplace,USA,"1,600,000",47%
Gaming,Online Retailer,Loot Crate,https://lootcrate.com/,Gaming/Pop Culture Memorabillia,USA,"134,000",29.80%
Gaming,eSports,Grilla.gg,https://www.grilla.gg/,eSports platform,USA,"30,000",25.00%
AdTech,DOOH,Screenvision,https://screenvisionmedia.com/,DOOH,USA,,
AdTech,DOOH,Screenverse Media,https://www.screenversemedia.com/,DOOH,USA,,
Screen,Collectibles,Collx,Collx.app,sports collection app,USA,"41,800",85.00%
Screen,Database,Coleka,https://www.coleka.com/,Collective Database,France,"260,000",18.00%
Tools,Tools,Calculatorsoup.com,Calculatorsoup.com,online calculator tool,USA,"10,000,000",52.00%
Gaming,eSports,Challonge,https://challonge.com/,eSports platform,USA/France,"3,400,000",23.38%
Gaming,Gaming Database,Blitz.gg,Blitz.gg,"offers overlays, performance insights, and stats",USA,"2,800,000",17.00%
Screen,Collectibles,myfigurecollection,myfigurecollection.com,online figurine collection Database,EU,"2,700,000",38.00%
Screen,Database,Scalemates,https://www.scalemates.com/,Modeling kit Database,Belgium,"1,600,000",20.00%
Screen,Database,130point,130point.com,Online sports Database,USA,"1,500,000",78.50%
Gaming,Gaming Database,Stream Charts,https://streamscharts.com/,Statistics on Streaming,Cyprus,"1,300,000",21.00%
Gaming,Gaming Database,ESports Charts,https://escharts.com/,Statistics on Esports,Cyprus,"1,200,000",12.00%
Screen,Online Retailer,Good Smile,https://goodsmileshop.com/,Figurine retailer,Japan / USA,"1,000,000",71.00%
Screen,Collectibles,Solaris Japan,https://solarisjapan.com/,online figurines marketplace,Japan,"734,000",28.00%
Screen,Database,HobbyDB,https://www.hobbydb.com/,Collective Database,USA,"700,000",53.00%
Screen,Collectibles,sportscard investor,sportscardinvestor.com,sports collection/price guide,USA,"550,000",85.00%
